Book#,Type,Title,Language,Bookshelves,Author,rights,Subjects,Read online (web),Plain Text UTF-8,Total # of Sentences,Average sentence length in words,Total number of words,Average word length,Total number of unique words,Total 3letter,Total 4letter,Total 5letter,Total 6letter,Total 7letter,Total 8letter,Total 9letter,Total 10letter,Total 11letter,Total 12letter,Total 13letter,Total 14letter,Total 15letter,Total 16letter,Total 17letter,Total 18letter,Total 19letter,Total 20letter,Total 20plus,dolch_prek_instances,dolch_prek_breadth,dolch_kindergarten_instances,dolch_kindergarten_breadth,dolch_first_instances,dolch_first_breadth,dolch_second_instances,dolch_second_breadth,dolch_third_instances,dolch_third_breadth,Total number of instances of fry sight words in text,Fry Sight Word Breadth,Dialog Ratio,Flesch_Kincaid Grade Score,Flesch_kincaid Reading Ease Score,Total number of nouns,Total number of adjectives,Total number of verbs,Total number of adverbs,Total number of pronouns,Total number of prepositions,Total number of conjunctions,dolch_1st_instances,dolch_1st_breadth,dolch_2nd_instances,dolch_2nd_breadth,dolch_3rd_instances,dolch_3rd_breadth
11,Text,Alice's Adventures in Wonderland,en,Children's Literature; Browsing: Children & Young Adult Reading; Browsing: Fiction,"Carroll, Lewis",Public domain in the USA.,Imaginary places -- Juvenile fiction ; Children's stories ; PZ ; Alice (Fictitious character from Carroll) -- Juvenile fiction ; Fantasy fiction ; PR,https://www.gutenberg.org/ebooks/11.html.images,https://www.gutenberg.org/ebooks/11.txt.utf-8,1657,16.56,27443,3.95,2692,7044,5752,3385,2013,1605,732,451,183,110,35,14,5,0,0,0,0,0,0,0,7685,0.9,4428,0.9615,,,,,,,20456,0.671,49.4247,6.04,81.23,5472,1574,5786,2133,3225,2885,1132,2706,1,1134,0.9348,636,0.878
12,Text,Through the Looking-Glass,en,Children's Literature; Best Books Ever Listings; Browsing: Children & Young Adult Reading; Browsing: Literature; Browsing: Fiction,"Carroll, Lewis",Public domain in the USA.,Imaginary places -- Juvenile fiction ; Children's stories ; PZ ; Alice (Fictitious character from Carroll) -- Juvenile fiction ; Fantasy fiction ; PR,https://www.gutenberg.org/ebooks/12.html.images,https://www.gutenberg.org/ebooks/12.txt.utf-8,2215,14.05,31129,3.93,3024,7533,6562,3889,2466,1738,769,442,273,77,61,13,6,2,0,0,0,0,0,0,8588,0.95,4987,0.9808,,,,,,,22672,0.6921,48.3898,4.94,84.65,6361,1805,6612,2440,3835,3278,1178,2963,1,1077,0.9348,817,0.9512
13,Text,The Hunting of the Snark: An Agony in Eight Fits,en,Children's Literature; Browsing: Children & Young Adult Reading; Browsing: Literature,"Carroll, Lewis",Public domain in the USA.,"PR ; Nonsense verses, English",https://www.gutenberg.org/ebooks/13.html.images,https://www.gutenberg.org/ebooks/13.txt.utf-8,233,22.75,5300,4.18,1491,1233,1056,666,440,344,203,122,59,25,16,1,2,0,0,0,0,0,0,0,1384,0.825,795,0.8269,,,,,,,3679,0.4574,51.1379,8.98,71.18,1234,304,994,299,564,605,252,459,0.878,211,0.6957,99,0.561
14,Text,The 1990 CIA World Factbook,en,CIA World Factbooks; Browsing: Encyclopedias/Dictionaries/Reference; Browsing: Politics; Browsing: Travel & Geography,United States. Central Intelligence Agency,Public domain in the USA.,"Political statistics -- Handbooks, manuals, etc. ; World politics -- Handbooks, manuals, etc. ; Political science -- Handbooks, manuals, etc. ; G ; Geography -- Handbooks, manuals, etc.",https://www.gutenberg.org/ebooks/14.html.images,https://www.gutenberg.org/ebooks/14.txt.utf-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Text,"Moby-Dick; or, The Whale",en,Adventure; Best Books Ever Listings; Browsing: Literature; Browsing: Fiction,"Melville, Herman",Public domain in the USA.,"Whales -- Fiction ; Ahab, Captain (Fictitious character) -- Fiction ; Psychological fiction ; Adventure stories ; Sea stories ; Whaling ships -- Fiction ; Whaling -- Fiction ; PS ; Ship captains -- Fiction ; Mentally ill -- Fiction",https://www.gutenberg.org/ebooks/15.html.images,https://www.gutenberg.org/ebooks/15.txt.utf-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Text,Peter Pan,en,Children's Literature; Movie Books; Browsing: Children & Young Adult Reading; Browsing: Literature; Browsing: Science-Fiction & Fantasy; Browsing: Fiction,"Barrie, J. M. (James Matthew)",Public domain in the USA.,Peter Pan (Fictitious character) -- Fiction ; Fairies -- Fiction ; Fantasy literature ; PZ ; Never-Never Land (Imaginary place) -- Fiction ; Pirates -- Fiction ; PR,https://www.gutenberg.org/ebooks/16.html.images,https://www.gutenberg.org/ebooks/16.txt.utf-8,3367,14.27,48054,4.06,4833,12398,10068,5953,3370,2873,1573,852,471,190,91,52,13,5,0,0,0,0,0,0,11464,0.975,9068,0.9423,,,,,,,35517,0.7783,49.2639,5.49,81.13,9660,2532,10073,3684,6425,5254,1993,5522,1,1803,0.9565,917,0.9512
17,Text,The Book of Mormon,en,Christianity; Latter Day Saints; Browsing: Philosophy & Ethics; Browsing: Religion/Spirituality/Paranormal,"Smith, Joseph, Jr. ; Church of Jesus Christ of Latter-day Saints",Public domain in the USA.,Church of Jesus Christ of Latter-day Saints -- Sacred books ; BX ; Latter Day Saint churches -- Sacred books,https://www.gutenberg.org/ebooks/17.html.images,https://www.gutenberg.org/ebooks/17.txt.utf-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Text,The Federalist Papers,en,Politics; Browsing: History - American; Browsing: Politics,"Madison, James ; Jay, John ; Hamilton, Alexander",Public domain in the USA.,JK ; Constitutional history -- United States -- Sources ; KF ; Constitutional law -- United States,https://www.gutenberg.org/ebooks/18.html.images,https://www.gutenberg.org/ebooks/18.txt.utf-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Text,The Song of Hiawatha,en,Children's Literature; Poetry; Native America; Browsing: Children & Young Adult Reading; Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Poetry,"Longfellow, Henry Wadsworth",Public domain in the USA.,"Iroquois Indians -- Kings and rulers -- Poetry ; Hiawatha, active 15th century -- Poetry ; Indians of North America -- Poetry ; PS",https://www.gutenberg.org/ebooks/19.html.images,https://www.gutenberg.org/ebooks/19.txt.utf-8,1130,29.43,33253,4.41,3963,8760,5733,4110,3324,2605,1919,823,336,174,38,5,5,1,0,0,0,0,0,0,8077,0.925,3414,0.9615,,,,,,,21164,0.6128,51.9959,12.25,59.64,10482,1943,4158,1083,2971,4448,1566,3745,0.9512,1006,0.913,429,0.878
20,Text,Paradise Lost,en,Poetry; Banned Books from Anne Haight's list; Browsing: Literature; Browsing: Poetry,"Milton, John",Public domain in the USA.,Fall of man -- Poetry ; Eve (Biblical figure) -- Poetry ; Bible. Genesis -- History of Biblical events -- Poetry ; Adam (Biblical figure) -- Poetry ; PR,https://www.gutenberg.org/ebooks/20.html.images,https://www.gutenberg.org/ebooks/20.txt.utf-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
